Symbol,Type,Logo
EURUSD=X,Currency,https://i.postimg.cc/jjsV3w6V/euro.png
JPY=X,Currency,https://i.postimg.cc/PqKggXKC/yen.png
GBPUSD=X,Currency,https://i.postimg.cc/4yHjHzGc/pound.png
AUDUSD=X,Currency,https://i.postimg.cc/KcKYDwvP/australian-dollar.png
CNY=X,Currency,https://i.postimg.cc/gcf2Ssnf/yuan.png
SGD=X,Currency,https://i.postimg.cc/VNLfrHVb/singapore-dollar.png
INR=X,Currency,https://i.postimg.cc/wv19FRHq/rupee.png
PHP=X,Currency,https://i.postimg.cc/3JXYLTMv/money.png
IDR=X,Currency,https://i.postimg.cc/CxwYXQY6/rupiah.png
THB=X,Currency,https://i.postimg.cc/Gp2RhT4F/thai-baht.png
ZAR=X,Currency,https://i.postimg.cc/B6PG2Wct/rand.png
RUB=X,Currency,https://i.postimg.cc/CMDg1gxQ/ruble.png
